"id","customer_id","average_daily_data_usage","average_daily_voice_usage","age_group","location"
"1",6494874,1,41,"45-60","Dallas"
"2",5826344,79,1,"12-18","Dallas"
"3",3279770,49,1,"12-18","Dallas"
"4",3081478,45,1,"12-18","Dallas"
"5",5026675,128,1,"12-18","Dallas"
"6",5605944,125,17,"12-18","Dallas"
"7",9356072,94,1,"12-18","Dallas"
"8",4628223,45,1,"12-18","Dallas"
"9",1858858,66,40,"12-18","Dallas"
"10",4209767,148,1,"12-18","Dallas"
"11",2822307,78,36,"12-18","Dallas"
"12",3941867,137,168,"12-18","Dallas"
"13",3368609,165,89,"12-18","Dallas"
"14",1668044,13,1,"12-18","Dallas"
"15",7361190,20,88,"12-18","Dallas"
"16",1758487,94,51,"12-18","Dallas"
"17",9521743,31,1,"12-18","Dallas"
"18",8596619,56,1,"12-18","Dallas"
"19",4366956,98,1,"12-18","Dallas"
"20",9993829,116,13,"12-18","Dallas"
"21",2945343,78,88,"12-18","Dallas"
"22",7398005,115,14,"12-18","Dallas"
"23",8398494,61,50,"12-18","Dallas"
"24",9269922,1,1,"12-18","Dallas"
"25",1830413,69,81,"12-18","Dallas"
"26",1733034,1,111,"12-18","Dallas"
"27",7986852,44,1,"12-18","Dallas"
"28",5201667,123,1,"12-18","Dallas"
"29",5336098,98,102,"12-18","Dallas"
"30",7652613,134,1,"12-18","Dallas"
"31",4197531,102,1,"12-18","Dallas"
"32",1156440,57,1,"12-18","Dallas"
"33",3250301,67,105,"12-18","Dallas"
"34",8793128,208,49,"12-18","Dallas"
"35",4219448,56,53,"12-18","Dallas"
"36",9326726,86,1,"12-18","Dallas"
"37",3672552,82,81,"12-18","Dallas"
"38",2851803,104,12,"12-18","Dallas"
"39",4439417,84,1,"12-18","Dallas"
"40",6604997,131,95,"12-18","Dallas"
"41",3048220,97,52,"12-18","Dallas"
"42",9297875,127,72,"12-18","Dallas"
"43",2886772,123,1,"12-18","Dallas"
"44",2476492,1,61,"12-18","Dallas"
"45",4065189,49,7,"12-18","Dallas"
"46",3235386,1,38,"12-18","Dallas"
"47",9527192,156,99,"12-18","Dallas"
"48",1971480,164,64,"12-18","Dallas"
"49",8341866,1,110,"12-18","Dallas"
"50",3627031,1,39,"12-18","Dallas"
"51",9728391,86,139,"12-18","Dallas"
"52",4209597,30,1,"12-18","Dallas"
"53",6536239,46,1,"12-18","Dallas"
"54",1934115,112,7,"12-18","Dallas"
"55",5027291,124,71,"12-18","Dallas"
"56",7175792,85,1,"12-18","Dallas"
"57",3680626,134,137,"12-18","Dallas"
"58",9201427,83,67,"12-18","Dallas"
"59",7301706,49,1,"12-18","Dallas"
"60",8239641,184,1,"12-18","Dallas"
"61",5556579,86,102,"12-18","Dallas"
"62",7233314,1,1,"12-18","Dallas"
"63",2657598,26,1,"12-18","Dallas"
"64",2846248,77,70,"12-18","Dallas"
"65",9626795,172,28,"12-18","Dallas"
"66",2785363,35,1,"12-18","Dallas"
"67",3828455,138,1,"12-18","Dallas"
"68",4658729,192,25,"12-18","Dallas"
"69",9618927,185,64,"12-18","Dallas"
"70",2116812,108,29,"12-18","Dallas"
"71",8333382,56,36,"12-18","Dallas"
"72",6842410,95,1,"12-18","Dallas"
"73",1732139,131,66,"12-18","Dallas"
"74",6277663,141,31,"12-18","Dallas"
"75",2753817,46,41,"12-18","Dallas"
"76",4989354,43,1,"12-18","Dallas"
"77",4619516,114,139,"12-18","Dallas"
"78",4482915,67,69,"12-18","Dallas"
"79",9314078,85,76,"12-18","Dallas"
"80",8445350,66,45,"12-18","Dallas"
"81",4424065,81,17,"12-18","Dallas"
"82",1351128,109,26,"12-18","Dallas"
"83",9592885,68,1,"12-18","Dallas"
"84",5715705,74,68,"12-18","Dallas"
"85",6307124,55,39,"12-18","Dallas"
"86",8414506,78,15,"12-18","Dallas"
"87",6827426,40,1,"12-18","Dallas"
"88",1899171,1,1,"12-18","Dallas"
"89",2885450,126,1,"12-18","Dallas"
"90",8649086,25,120,"12-18","Dallas"
"91",8238644,172,143,"12-18","Dallas"
"92",4158490,48,53,"12-18","Dallas"
"93",7061604,174,68,"12-18","Dallas"
"94",1719472,226,45,"12-18","Dallas"
"95",9067636,27,1,"12-18","Dallas"
"96",1614683,138,52,"12-18","Dallas"
"97",4490513,161,1,"12-18","Dallas"
"98",1636567,133,1,"12-18","Dallas"
"99",5264901,6,1,"12-18","Dallas"
"100",3499409,107,121,"12-18","Dallas"
"101",7458402,109,35,"12-18","Dallas"
"102",9623755,14,1,"12-18","Dallas"
"103",8153356,1,46,"12-18","Dallas"
"104",6764311,70,57,"12-18","Dallas"
"105",8233975,90,1,"12-18","Dallas"
"106",1219368,13,1,"12-18","Dallas"
"107",1258468,61,82,"12-18","Dallas"
"108",8465744,84,1,"12-18","Dallas"
"109",1797471,81,1,"12-18","Dallas"
"110",3481316,109,83,"12-18","Dallas"
"111",1330294,40,21,"12-18","Dallas"
"112",5317752,1,63,"12-18","Dallas"
"113",2206270,124,17,"12-18","Dallas"
"114",1233132,72,95,"12-18","Dallas"
"115",2736180,91,1,"12-18","Dallas"
"116",8569881,93,84,"12-18","Dallas"
"117",9325511,163,1,"12-18","Dallas"
"118",9127249,100,82,"12-18","Dallas"
"119",2339218,1,1,"12-18","Dallas"
"120",4668544,144,7,"12-18","Dallas"
"121",3474565,112,1,"12-18","Dallas"
"122",4726428,198,83,"12-18","Dallas"
"123",7737973,108,73,"12-18","Dallas"
"124",3369808,104,64,"12-18","Dallas"
"125",2291425,135,1,"12-18","Dallas"
"126",9812225,1,151,"12-18","Dallas"
"127",6063131,72,34,"12-18","Dallas"
"128",6303239,124,24,"12-18","Dallas"
"129",1214777,1,135,"12-18","Dallas"
"130",3738842,105,1,"12-18","Dallas"
"131",7660845,129,1,"12-18","Dallas"
"132",1593588,16,46,"12-18","Dallas"
"133",3054013,125,38,"12-18","Dallas"
"134",8592508,154,7,"12-18","Dallas"
"135",6042705,18,1,"12-18","Dallas"
"136",3936462,25,1,"12-18","Dallas"
"137",7987078,42,61,"12-18","Dallas"
"138",7183338,173,57,"12-18","Dallas"
"139",7488221,90,11,"12-18","Dallas"
"140",9215281,126,62,"12-18","Dallas"
"141",2191641,45,20,"12-18","Dallas"
"142",6335235,191,51,"12-18","Dallas"
"143",8031200,91,67,"12-18","Dallas"
"144",7311761,45,48,"12-18","Dallas"
"145",7944281,35,128,"12-18","Dallas"
"146",9741074,1,22,"12-18","Dallas"
"147",8723067,191,17,"12-18","Dallas"
"148",1631658,77,128,"12-18","Dallas"
"149",8772183,1,1,"12-18","Dallas"
"150",9823610,132,16,"12-18","Dallas"
"151",5511040,53,1,"12-18","Dallas"
"152",5303327,127,1,"12-18","Dallas"
"153",6426118,3,58,"12-18","Dallas"
"154",3687689,88,36,"12-18","Dallas"
"155",3603452,178,1,"12-18","Dallas"
"156",2172489,15,12,"12-18","Dallas"
"157",3791160,125,63,"12-18","Dallas"
"158",6775195,85,1,"12-18","Dallas"
"159",6100755,59,1,"12-18","Dallas"
"160",4428032,71,9,"12-18","Dallas"
"161",1575141,118,1,"12-18","Dallas"
"162",9306326,4,43,"12-18","Dallas"
"163",8252096,98,1,"12-18","Dallas"
"164",9385128,89,107,"12-18","Dallas"
"165",3488210,128,1,"12-18","Dallas"
"166",5327496,57,88,"12-18","Dallas"
"167",1329281,60,65,"12-18","Dallas"
"168",4842682,29,38,"12-18","Dallas"
"169",9360014,154,1,"12-18","Dallas"
"170",8985271,121,1,"12-18","Dallas"
"171",5649322,100,1,"12-18","Dallas"
"172",9782104,81,86,"12-18","Dallas"
"173",3134181,123,12,"12-18","Dallas"
"174",4190746,147,39,"12-18","Dallas"
"175",8350862,36,28,"12-18","Dallas"
"176",8793304,50,17,"12-18","Dallas"
"177",6681274,1,1,"12-18","Dallas"
"178",1629842,98,98,"12-18","Dallas"
"179",9492629,145,1,"12-18","Dallas"
"180",8562603,1,66,"12-18","Dallas"
"181",7003767,56,1,"12-18","Dallas"
"182",5149204,38,39,"12-18","Dallas"
"183",4162982,1,1,"12-18","Dallas"
"184",3323675,115,16,"12-18","Dallas"
"185",9592202,128,91,"12-18","Dallas"
"186",6132452,64,1,"12-18","Dallas"
"187",9375552,148,17,"12-18","Dallas"
"188",8715997,110,1,"12-18","Dallas"
"189",9288611,115,1,"12-18","Dallas"
"190",2826531,215,54,"12-18","Dallas"
"191",5533667,35,29,"12-18","Dallas"
"192",9495118,97,50,"12-18","Dallas"
"193",8956620,29,149,"12-18","Dallas"
"194",6266891,67,27,"12-18","Dallas"
"195",2312539,1,125,"12-18","Dallas"
"196",6279732,119,61,"12-18","Dallas"
"197",6163711,157,18,"12-18","Dallas"
"198",6600508,89,1,"12-18","Dallas"
"199",2239434,113,1,"12-18","Dallas"
"200",5396561,90,49,"12-18","Dallas"
"201",3494716,140,1,"12-18","Dallas"
"202",2423360,7,18,"12-18","Dallas"
"203",3354092,25,1,"12-18","Dallas"
"204",8787504,139,1,"12-18","Dallas"
"205",9872429,81,85,"12-18","Dallas"
"206",6111115,88,155,"12-18","Dallas"
"207",1780818,81,51,"12-18","Dallas"
"208",5654306,104,1,"12-18","Dallas"
"209",2956480,141,1,"12-18","Dallas"
"210",6082749,40,1,"12-18","Dallas"
"211",1491187,1,29,"12-18","Dallas"
"212",7690202,46,1,"12-18","Dallas"
"213",9288073,31,22,"12-18","Dallas"
"214",1067396,31,1,"12-18","Dallas"
"215",9157416,130,1,"12-18","Dallas"
"216",9743320,35,1,"12-18","Dallas"
"217",1176321,35,33,"12-18","Dallas"
"218",7345524,138,1,"12-18","Dallas"
"219",4803614,79,1,"12-18","Dallas"
"220",8845436,27,66,"12-18","Dallas"
"221",5886047,41,1,"12-18","Dallas"
"222",2301116,115,19,"12-18","Dallas"
"223",7289821,18,73,"12-18","Dallas"
"224",6603194,148,79,"12-18","Dallas"
"225",3247825,48,1,"12-18","Dallas"
"226",9862000,64,28,"12-18","Dallas"
"227",5994882,126,8,"12-18","Dallas"
"228",7500791,1,1,"12-18","Dallas"
"229",9933029,51,73,"12-18","Dallas"
"230",4110398,24,1,"12-18","Dallas"
"231",1534165,82,45,"12-18","Dallas"
"232",5368967,46,48,"12-18","Dallas"
"233",3025393,91,50,"12-18","Dallas"
"234",2625600,8,1,"12-18","Dallas"
"235",2859525,43,1,"12-18","Dallas"
"236",9969758,71,23,"12-18","Dallas"
"237",7085783,139,31,"12-18","Dallas"
"238",3440858,7,166,"12-18","Dallas"
"239",7274235,1,1,"12-18","Dallas"
"240",7843614,153,28,"12-18","Dallas"
"241",5953007,28,24,"12-18","Dallas"
"242",6167644,108,1,"12-18","Dallas"
"243",2186503,89,75,"12-18","Dallas"
"244",6169476,96,1,"12-18","Dallas"
"245",4259217,75,1,"12-18","Dallas"
"246",9809335,62,121,"12-18","Dallas"
"247",1978402,121,1,"12-18","Dallas"
"248",4752544,100,146,"12-18","Dallas"
"249",5389049,104,113,"12-18","Dallas"
"250",1263109,125,181,"12-18","Dallas"
"251",6629834,1,46,"12-18","Dallas"
"252",2765360,1,1,"12-18","Dallas"
"253",5534310,1,76,"12-18","Dallas"
"254",6195940,96,40,"12-18","Dallas"
"255",2885910,83,51,"12-18","Dallas"
"256",3626985,121,5,"12-18","Dallas"
"257",3114867,143,60,"12-18","Dallas"
"258",4279632,95,1,"12-18","Dallas"
"259",3634279,131,104,"12-18","Dallas"
"260",9215915,96,23,"12-18","Dallas"
"261",3771983,139,32,"12-18","Dallas"
"262",8008430,32,1,"12-18","Dallas"
"263",9418922,231,94,"12-18","Dallas"
"264",7310420,95,1,"12-18","Dallas"
"265",6769855,43,112,"12-18","Dallas"
"266",1597405,128,1,"12-18","Dallas"
"267",3999553,43,6,"12-18","Dallas"
"268",3784730,33,1,"12-18","Dallas"
"269",4406643,91,1,"12-18","Dallas"
"270",8010410,1,138,"12-18","Dallas"
"271",6341684,1,41,"12-18","Dallas"
"272",9703787,155,36,"12-18","Dallas"
"273",6465048,72,1,"12-18","Dallas"
"274",5262655,73,64,"12-18","Dallas"
"275",1920690,123,12,"12-18","Dallas"
"276",9514756,10,1,"12-18","Dallas"
"277",1082083,123,1,"12-18","Dallas"
"278",7390706,41,1,"12-18","Dallas"
"279",6660071,91,58,"12-18","Dallas"
"280",5820404,62,14,"12-18","Dallas"
"281",1366102,1,65,"12-18","Dallas"
"282",1404393,129,1,"12-18","Dallas"
"283",3204808,11,1,"12-18","Dallas"
"284",7238853,75,18,"12-18","Dallas"
"285",8045837,128,48,"12-18","Dallas"
"286",4712735,111,2,"12-18","Dallas"
"287",9746940,36,13,"12-18","Dallas"
"288",9772873,44,1,"12-18","Dallas"
"289",6216797,43,1,"12-18","Dallas"
"290",4123048,31,39,"12-18","Dallas"
"291",5845097,4,1,"12-18","Dallas"
"292",9211691,71,1,"12-18","Dallas"
"293",9307594,42,52,"12-18","Dallas"
"294",8938703,110,1,"12-18","Dallas"
"295",2969775,126,15,"12-18","Dallas"
"296",5450533,1,53,"12-18","Dallas"
"297",4435199,103,4,"12-18","Dallas"
"298",1357256,75,1,"12-18","Dallas"
"299",9707747,81,122,"12-18","Dallas"
"300",4532995,5,1,"12-18","Dallas"
"301",9778062,46,133,"12-18","Dallas"
"302",1944922,156,48,"12-18","Dallas"
"303",6356923,15,32,"12-18","Dallas"
"304",5382002,177,137,"12-18","Dallas"
"305",4857882,125,4,"12-18","Dallas"
"306",4999041,12,52,"12-18","Dallas"
"307",1598440,189,45,"12-18","Dallas"
"308",2090160,11,71,"12-18","Dallas"
"309",7975936,124,11,"12-18","Dallas"
"310",8204433,58,1,"12-18","Dallas"
"311",8059068,92,15,"12-18","Dallas"
"312",2104890,181,1,"12-18","Dallas"
"313",8557736,82,107,"12-18","Dallas"
"314",4150472,25,1,"12-18","Dallas"
"315",6903347,19,1,"12-18","Dallas"
"316",5969573,163,5,"12-18","Dallas"
"317",7480256,78,104,"12-18","Dallas"
"318",9105741,95,11,"12-18","Dallas"
"319",7352031,74,1,"12-18","Dallas"
"320",8787319,120,1,"12-18","Dallas"
"321",3403214,30,1,"12-18","Dallas"
"322",5472554,112,1,"12-18","Dallas"
"323",9499353,59,56,"12-18","Dallas"
"324",2366158,66,84,"12-18","Dallas"
"325",1910179,84,1,"12-18","Dallas"
"326",1487060,58,62,"12-18","Dallas"
"327",1783181,92,4,"12-18","Dallas"
"328",1141413,69,34,"12-18","Dallas"
"329",4282568,1,1,"12-18","Dallas"
"330",9874225,1,103,"12-18","Dallas"
"331",4997092,215,39,"12-18","Dallas"
"332",6837991,42,1,"12-18","Dallas"
"333",8032973,178,43,"12-18","Dallas"
"334",4434900,157,1,"12-18","Dallas"
"335",4738553,77,84,"12-18","Dallas"
"336",2314822,74,8,"12-18","Dallas"
"337",5637108,172,47,"12-18","Dallas"
"338",1672226,123,1,"12-18","Dallas"
"339",8555367,40,35,"12-18","Dallas"
